URL,Response Code,News Error,Detected,Category
http://www.tescoentertainment.com/store/artist/aled-jones/p%3A73135/,410,,2/3/12,Not found
http://www.tescoentertainment.com/store/artist/s-club-7/p%3A346535/,410,,3/5/12,Not found
http://www.tescoentertainment.com/store/artist/biffy-clyro/p%3A481545/,410,,2/3/12,Not found
http://www.tescoentertainment.com/tesco/9979073.product,404,,1/1/12,Not found
http://www.tescoentertainment.com/store/artist/chris-brown/p%3A676213/,404,,2/12/12,Not found
http://www.tescoentertainment.com/store/games/personal-computer-resident-evil-5/8:609078/,404,,11/11/11,Not found
http://www.tescoentertainment.com/store/artist/whitney-houston/p%3A3847/,410,,3/3/12,Not found
http://www.tescoentertainment.com/store/artist/led-zeppelin/p%3A4045/,410,,3/11/12,Not found
http://www.tescoentertainment.com/store/artist/kelly-clarkson/p%3A495848/,410,,2/2/12,Not found
http://www.tescoentertainment.com/tesco/10024270.product,404,,2/4/12,Not found
http://www.tescoentertainment.com/st.../2%3A16328095/,404,,1/18/11,Not found
http://www.tescoentertainment.com/store/games/personal-computer-saints-row--the-third--professor-genki-limited-edition/8%3A775346/,404,,1/19/12,Not found
http://www.tescoentertainment.com/store/games/-lego-star-wars-iii-clone-wars/8%3A733599/,404,,1/25/12,Not found
http://www.tescoentertainment.com/tesco/terms-and-conditions.info,404,,2/29/12,Not found
http://www.tescoentertainment.com/store/games/sony-playstation-3-max-payne-3/8:733661/,404,,1/27/12,Not found
http://www.tescoentertainment.com/store/artist/lil-wayne/p%3A350387/,404,,2/11/12,Not found
http://www.tescoentertainment.com/store/games/ps3-call-of-duty-modern-warfare-3-hardened-edition/8%3A780474/,404,,11/20/11,Not found
http://www.tescoentertainment.com/tesco/10043860.product,404,,12/31/11,Not found
http://www.tescoentertainment.com/store/artist/robbie-williams/p%3A174135/,410,,2/3/12,Not found
http://www.tescoentertainment.com/store..,404,,3/16/12,Not found
http://www.tescoentertainment.com/store/artist/simply-red/p%3A4675/,410,,3/16/12,Not found
http://www.tescoentertainment.com/tesco/10038130.product,404,,12/27/11,Not found
http://www.tescoentertainment.com/store/dvd/prison-break--series-14--complete/8:502889/,404,,3/15/12,Not found
http://www.tescoentertainment.com/store/artist/nelly-furtado/p%3A414305/,410,,2/15/12,Not found
http://www.tescoentertainment.com/store/artist/red-hot-chili-peppers/p%3A4504/,410,,2/2/12,Not found
http://www.tescoentertainment.com/tesco/9986416.product,404,,12/3/11,Not found
http://www.tescoentertainment.com/store/browse/tickets,404,,3/6/12,Not found
http://www.tescoentertainment.com/store/games/-batman-arkham-city/8%3A778092/,404,,11/21/11,Not found
http://www.tescoentertainment.com/st...th/2:38658439/,404,,2/3/11,Not found
http://www.tescoentertainment.com/store/games/-batman--arkham-asylum/8:609717/,404,,12/26/11,Not found
http://www.tescoentertainment.com/store/browse/dvd/janeeyre/,404,,3/8/12,Not found
http://www.tescoentertainment.com/tesco/9980523.product,404,,1/6/12,Not found
http://www.tescoentertainment.com/store/artist/cat-stevens/p%3A4753/,410,,2/14/12,Not found
http://www.tescoentertainment.com/store/artist/take-that/p%3A33089/,410,,2/12/12,Not found
http://www.tescoentertainment.com/tesco/9992448.product,404,,2/12/12,Not found
http://www.tescoentertainment.com/tesco/8522208.product,404,,12/27/11,Not found
http://www.tescoentertainment.com/tesco/9997576.product,404,,2/22/12,Not found
http://www.tescoentertainment.com/store/artist/cliff-richard/p%3A4525/,410,,3/5/12,Not found
http://www.tescoentertainment.com/store/games/xbox-360-gears-of-war-3/8%3A736603/,404,,11/11/11,Not found
